,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[54,55]","[10.029027,11.743601]","[9.787453,11.508436]","[10.005941,10.888318]","[9.524863,11.122329]","[9.498531,10.899714]","[9.195274,10.824369]","[8.692727,10.948268]","[8.411780,11.174623]","[8.700393,11.364582]","[8.945224,11.975093]","[8.866881,12.833714]","[8.992990,13.009263]"
"[55,56]","[9.984136,11.755166]","[9.781142,11.543250]","[10.013348,10.910760]","[9.556408,11.085629]","[9.529710,10.833556]","[9.080350,10.895320]","[8.720621,10.866156]","[8.309917,11.181364]","[8.460958,11.440636]","[8.891951,11.812148]","[8.695492,12.797784]","[8.832940,13.037903]"
"[56,57]","[9.924756,11.760316]","[9.810290,11.539682]","[10.020851,10.935547]","[9.585078,11.023548]","[9.414187,10.833280]","[9.029475,10.789024]","[8.673847,10.763994]","[8.421076,10.938789]","[8.558632,11.198030]","[8.837570,11.683160]","[8.675231,12.619731]","[8.839257,12.881452]"
"[57,58]","[9.923580,11.725161]","[9.820354,11.505347]","[10.014635,10.936088]","[9.563979,11.048922]","[9.425398,10.809802]","[9.029309,10.733337]","[8.693021,10.640218]","[8.368144,10.861453]","[8.443884,11.191782]","[8.820026,11.611233]","[8.773382,12.462261]","[8.812346,12.864761]"
"[58,59]","[9.793050,11.770160]","[9.750713,11.561299]","[10.025165,10.907566]","[9.514570,11.027935]","[9.404860,10.735095]","[8.988138,10.723354]","[8.725540,10.630875]","[8.438436,10.837370]","[8.395742,11.216973]","[8.769134,11.523241]","[8.660246,12.366487]","[8.730083,12.767485]"
"[59,60]","[9.741482,11.739371]","[9.718579,11.552430]","[9.986905,10.931751]","[9.498852,11.020632]","[9.365173,10.711806]","[8.921689,10.683280]","[8.704002,10.524652]","[8.406936,10.745400]","[8.387025,11.114182]","[8.742572,11.440490]","[8.633638,12.278090]","[8.628995,12.758224]"
"[60,61]","[9.687625,11.750624]","[9.680922,11.564740]","[9.949954,10.933831]","[9.494509,10.982267]","[9.346507,10.705479]","[8.970837,10.643502]","[8.785374,10.468533]","[8.426068,10.722906]","[8.344741,11.091815]","[8.730870,11.335922]","[8.587283,12.201818]","[8.545990,12.755053]"
"[61,62]","[9.617592,11.769413]","[9.683105,11.543482]","[9.923422,10.942412]","[9.495554,10.946059]","[9.332470,10.672234]","[8.951007,10.618074]","[8.611948,10.599321]","[8.425707,10.664326]","[8.339552,11.001399]","[8.666090,11.270901]","[8.616868,12.038688]","[8.480092,12.720921]"
"[62,63]","[9.530004,11.777198]","[9.661881,11.545098]","[9.941525,10.930849]","[9.497920,10.933604]","[9.312535,10.643854]","[8.920357,10.569282]","[8.589112,10.528748]","[8.446852,10.539983]","[8.296924,10.919388]","[8.663494,11.119792]","[8.623603,11.866066]","[8.459320,12.602226]"
"[63,64]","[9.461189,11.750374]","[9.634532,11.538780]","[9.940566,10.933570]","[9.504075,10.917454]","[9.296143,10.612007]","[8.887896,10.527714]","[8.564736,10.483821]","[8.469239,10.464719]","[8.312264,10.846205]","[8.644326,11.044935]","[8.650933,11.704557]","[8.416871,12.505823]"
