,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[57,58]","[31.596533,33.477440]","[32.491638,32.742957]","[32.313235,33.118103]","[32.511207,32.863637]","[31.691497,33.389174]","[32.075005,32.789700]","[30.148462,34.872992]","[32.276303,33.232194]","[32.263154,33.695114]","[32.512581,33.501032]","[32.193188,33.466933]","[30.771150,34.458422]"
"[58,59]","[31.488357,33.578753]","[32.486138,32.732727]","[32.321614,33.118480]","[32.529115,32.884393]","[31.698702,33.423072]","[32.109700,32.766921]","[29.872313,35.129433]","[32.253605,33.234475]","[32.259145,33.712606]","[32.543948,33.521202]","[32.203942,33.514852]","[30.794017,34.465031]"
"[59,60]","[31.603651,33.535995]","[32.497186,32.760715]","[32.347268,33.100138]","[32.515445,32.898749]","[31.555856,33.582532]","[32.095174,32.813121]","[29.876010,35.152746]","[32.241875,33.254396]","[32.112592,33.858571]","[32.543914,33.539087]","[32.240589,33.532448]","[30.857447,34.481285]"
"[60,61]","[31.667495,33.454985]","[32.505663,32.772281]","[32.389178,33.152787]","[32.547305,32.951742]","[31.499590,33.578609]","[31.937474,32.716969]","[29.011760,35.674315]","[32.090327,33.156787]","[32.284814,33.640155]","[32.603509,33.589752]","[32.325160,33.572449]","[30.871570,34.507918]"
"[61,62]","[31.703662,33.484460]","[32.510875,32.784080]","[32.355306,33.134833]","[32.506805,32.948374]","[31.550012,33.601652]","[32.039653,32.839679]","[29.563656,35.413694]","[32.181480,33.285754]","[32.313041,33.686266]","[32.582953,33.581853]","[32.324609,33.546995]","[30.894086,34.522593]"
"[62,63]","[31.680552,33.519716]","[32.509242,32.791533]","[32.353784,33.127466]","[32.486153,32.966317]","[31.564042,33.629066]","[32.079816,32.904672]","[29.942837,35.180538]","[32.288027,33.313564]","[32.331394,33.747777]","[32.573281,33.614002]","[32.332152,33.535769]","[30.846084,34.572402]"
"[63,64]","[31.653265,33.550885]","[32.508450,32.795680]","[32.355957,33.143786]","[32.477613,33.004098]","[31.554870,33.658130]","[32.070782,32.909829]","[29.606990,35.496688]","[32.291440,33.299647]","[32.374228,33.723012]","[32.600482,33.629167]","[32.357867,33.553104]","[30.829395,34.612198]"
"[64,65]","[31.653498,33.574251]","[32.505725,32.806185]","[32.356415,33.151113]","[32.450473,33.059391]","[31.592528,33.674610]","[32.096930,32.948629]","[29.666105,35.490714]","[32.290274,33.331985]","[32.392006,33.723992]","[32.611846,33.641570]","[32.373753,33.572786]","[30.919257,34.559505]"
"[65,66]","[31.642743,33.641540]","[32.508705,32.813973]","[32.334667,33.152161]","[32.467796,33.028803]","[31.598174,33.688863]","[32.108716,32.979393]","[29.692369,35.496901]","[32.307353,33.318399]","[32.426398,33.680383]","[32.647775,33.619541]","[32.430890,33.571113]","[30.980777,34.574973]"
"[66,67]","[31.648253,33.657377]","[32.492787,32.834412]","[32.333378,33.156500]","[32.438049,33.071363]","[31.605376,33.704356]","[32.114529,32.999635]","[29.670924,35.544851]","[32.296492,33.361683]","[32.477739,33.675259]","[32.658139,33.668856]","[32.434672,33.628035]","[31.075319,34.525454]"
"[67,68]","[31.653469,33.691472]","[32.493700,32.862066]","[32.317445,33.163126]","[32.417933,33.059308]","[31.487966,33.816637]","[32.106358,33.069166]","[29.936239,35.397024]","[32.342181,33.435439]","[32.454028,33.768893]","[32.669571,33.671604]","[32.446194,33.612438]","[31.009261,34.608344]"
"[68,69]","[31.592250,33.707922]","[32.474016,32.862836]","[32.327045,33.174029]","[32.416082,33.118090]","[31.770656,33.614453]","[32.164432,33.101892]","[30.067521,35.356785]","[32.395293,33.463600]","[32.508270,33.772869]","[32.676830,33.686414]","[32.465215,33.575825]","[30.913315,34.660041]"
"[69,70]","[31.476148,33.828819]","[32.452897,32.876950]","[32.317268,33.195376]","[32.413749,33.175132]","[31.833350,33.644851]","[32.228617,33.137212]","[30.205530,35.291842]","[32.393424,33.504089]","[32.516053,33.787412]","[32.685207,33.705749]","[32.474419,33.602197]","[30.965766,34.634471]"
"[70,71]","[31.516923,33.810271]","[32.457032,32.906331]","[32.358337,33.204506]","[32.414161,33.215250]","[31.666696,33.806945]","[32.170543,33.137915]","[29.727594,35.693302]","[32.354645,33.497770]","[32.555159,33.761045]","[32.720143,33.725075]","[32.505120,33.628180]","[30.976776,34.658437]"
